#CHANNEL:CH1
#SIZE=4000
Index,Time(s),Volt(V)
691,2.760000e-02,-5.200000e-01
692,2.764000e-02,-7.200000e-01
693,2.768000e-02,-6.400000e-01
694,2.772000e-02,-4.400000e-01
695,2.776000e-02,-1.600000e-01
696,2.780000e-02,1.600000e-01
697,2.784000e-02,4.400000e-01
698,2.788000e-02,6.000000e-01
699,2.792000e-02,5.600000e-01
700,2.796000e-02,4.800000e-01
701,2.800000e-02,2.800000e-01
702,2.804000e-02,-4.000000e-02
703,2.808000e-02,-2.400000e-01
704,2.812000e-02,-4.000000e-01
705,2.816000e-02,-4.000000e-01
706,2.820000e-02,-3.200000e-01
707,2.824000e-02,-2.000000e-01
708,2.828000e-02,0.000000e+00
709,2.832000e-02,2.000000e-01
710,2.836000e-02,3.200000e-01
711,2.840000e-02,3.600000e-01
712,2.844000e-02,2.800000e-01
713,2.848000e-02,2.000000e-01
714,2.852000e-02,8.000000e-02
715,2.856000e-02,-1.200000e-01
716,2.860000e-02,-2.000000e-01
717,2.864000e-02,-2.000000e-01
718,2.868000e-02,-2.000000e-01
719,2.872000e-02,-1.600000e-01
720,2.876000e-02,-8.000000e-02
721,2.880000e-02,8.000000e-02
722,2.884000e-02,1.600000e-01
723,2.888000e-02,2.400000e-01
724,2.892000e-02,2.800000e-01
725,2.896000e-02,2.800000e-01
726,2.900000e-02,1.200000e-01
727,2.904000e-02,0.000000e+00
728,2.908000e-02,-2.000000e-01
729,2.912000e-02,-2.800000e-01
730,2.916000e-02,-4.000000e-01
731,2.920000e-02,-3.200000e-01
732,2.924000e-02,-2.000000e-01
733,2.928000e-02,0.000000e+00
734,2.932000e-02,2.800000e-01
735,2.936000e-02,4.800000e-01
736,2.940000e-02,5.200000e-01
737,2.944000e-02,5.200000e-01
738,2.948000e-02,4.000000e-01
739,2.952000e-02,1.200000e-01
740,2.956000e-02,-2.000000e-01
741,2.960000e-02,-4.800000e-01
742,2.964000e-02,-6.800000e-01
743,2.968000e-02,-6.800000e-01
744,2.972000e-02,-4.400000e-01
